bank_name,transaction_date,year,month_num,month_name,debit_transactions,debit_amount,credit_transactions,credit_amount,total_transactions,total_amount,avg_debit_ticket_size,avg_credit_ticket_size,net_amount_flow
INDUSIND BANK,2010-02-01,2010,2,February,112750,4444.553,28086,1541.311,140836,5985.864,0.039419538802660754,0.05487826675211849,-2903.242
ING VYSYA BANK,2010-02-01,2010,2,February,46676,1116.765,46203,2498.993,92879,3615.758,0.023925893392750024,0.05408724541696427,1382.2279999999998
JAMMU AND KASHMIR BANK,2010-02-01,2010,2,February,3110,130.851,7865,514.493,10975,645.344,0.042074276527331186,0.06541551176096631,383.64200000000005
JANAKALYAN SAHAKARI BANK,2010-02-01,2010,2,February,321,10.14,1996,62.479,2317,72.619,0.031588785046728976,0.03130210420841684,52.339
JP MORGAN BANK,2010-02-01,2010,2,February,11334,3863.475,226,131.105,11560,3994.58,0.34087480148226573,0.5801106194690265,-3732.37
KALUPUR COMM CO-OP BANK,2010-02-01,2010,2,February,284,12.956,743,48.005,1027,60.961,0.045619718309859156,0.06460969044414536,35.04900000000001
KALYAN JANATA SAHAKARI BANK,2010-02-01,2010,2,February,128,3.842,382,10.584,510,14.426,0.030015625,0.027706806282722513,6.741999999999999
KAPOLE BANK,2010-02-01,2010,2,February,28,1.163,340,13.206,368,14.369,0.04153571428571429,0.03884117647058823,12.043
KARNATAKA BANK,2010-02-01,2010,2,February,17629,464.157,29151,2664.011,46780,3128.168,0.026329173520903058,0.09138660766354499,2199.854
KARNATAKA STATE CO-OP APEX BANK,2010-02-01,2010,2,February,23,0.011,4,0.014,27,0.025,0.00047826086956521735,0.0035,0.003000000000000001
KARUR VYSYA BANK,2010-02-01,2010,2,February,8560,302.532,43829,1610.91,52389,1913.442,0.03534252336448598,0.03675443199707956,1308.3780000000002
KOTAK MAHINDRA BANK,2010-02-01,2010,2,February,94916,2273.928,71288,4231.605,166204,6505.532999999999,0.023957267478612668,0.059359289080911225,1957.6769999999997
LAKSHMI VILAS BANK,2010-02-01,2010,2,February,17961,328.317,8085,337.117,26046,665.434,0.01827943878403207,0.04169659863945578,8.800000000000011
MAHANAGAR CO-OP BANK,2010-02-01,2010,2,February,216,8.557,396,8.561,612,17.118000000000002,0.03961574074074074,0.021618686868686867,0.0039999999999995595
MAHARASHTRA STATE CO-OP BANK,2010-02-01,2010,2,February,225,5.013,1060,93.975,1285,98.988,0.02228,0.08865566037735849,88.96199999999999
MASHREQ BANK,2010-02-01,2010,2,February,434,192.413,33,10.815,467,203.228,0.44334792626728114,0.3277272727272727,-181.598
MIZUHO CORP BANK,2010-02-01,2010,2,February,509,14.948,49,3.502,558,18.45,0.029367387033398824,0.07146938775510203,-11.446000000000002
NEW INDIA CO-OP BANK,2010-02-01,2010,2,February,260,16.547,1269,49.847,1529,66.394,0.06364230769230769,0.03928053585500394,33.3
NKGSB BANK,2010-02-01,2010,2,February,339,12.43,2294,115.364,2633,127.79400000000001,0.03666666666666667,0.05028945074106365,102.934
NUTAN NAGARIK SAHAKARI BANK,2010-02-01,2010,2,February,90,3.446,400,18.054,490,21.5,0.03828888888888889,0.045134999999999995,14.607999999999999
OMAN INTERNATIONAL BANK,2010-02-01,2010,2,February,983,92.425,60,4.986,1043,97.411,0.0940233977619532,0.0831,-87.439
ORIENTAL BANK OF COMMERCE,2010-02-01,2010,2,February,32776,1213.752,67838,3928.352,100614,5142.103999999999,0.03703173053453746,0.05790783926412925,2714.6
