bank_name,transaction_date,year,month_num,month_name,debit_transactions,debit_amount,credit_transactions,credit_amount,total_transactions,total_amount,avg_debit_ticket_size,avg_credit_ticket_size,net_amount_flow
SYNDICATE BANK,2019-07-01,2019,7,July,1491622,170077.858,3286086,161675.741,4777708,331753.59900000005,0.11402209004694219,0.049200094276291004,-8402.116999999998
SHRI VEERSHAIV CO-OP BANK,2019-07-01,2019,7,July,4220,310.885,1844,149.709,6064,460.594,0.07366943127962085,0.08118709327548806,-161.176
SINDHUDURG DCCB,2019-07-01,2019,7,July,6165,299.49,10453,303.945,16618,603.435,0.048579075425790756,0.02907729838323926,4.454999999999984
TAMIL NADU STATE APEX CO-OP BANK,2019-07-01,2019,7,July,105922,3100.255,85511,4114.622,191433,7214.877,0.029269226411887995,0.0481180432926758,1014.3670000000002
TAMILNADU MERCANTILE BANK,2019-07-01,2019,7,July,468522,32235.126,714878,40248.629,1183400,72483.755,0.0688017339633998,0.056301395482865606,8013.503000000001
TELANGANA STATE CO-OP APEX BANK,2019-07-01,2019,7,July,36865,2612.775,78377,2314.747,115242,4927.522,0.07087413535874136,0.029533498347729562,-298.02800000000025
TEXTILE TRADERS CO-OP BANK,2019-07-01,2019,7,July,2383,115.956,1838,138.202,4221,254.15800000000002,0.04865967268149392,0.07519151251360175,22.245999999999995
THANE BHARAT SAHAKARI BANK,2019-07-01,2019,7,July,11599,1182.329,27889,1574.861,39488,2757.19,0.1019337011811363,0.056468894546236874,392.53200000000015
THANE DIST CENTRAL CO-OP BANK,2019-07-01,2019,7,July,21120,2771.668,69775,2163.056,90895,4934.724,0.1312342803030303,0.031000444285202437,-608.6120000000001
THANE JANATA SAHAKARI BANK,2019-07-01,2019,7,July,96723,5973.695,198559,9285.236,295282,15258.931,0.06176085315798724,0.04676310819454168,3311.541000000001
A P MAHESH URBAN CO-OP BANK,2019-07-01,2019,7,July,16728,3905.683,35424,2587.218,52152,6492.901,0.23348176709708274,0.07303573848238482,-1318.4650000000001
AP STATE CO-OP BANK,2019-07-01,2019,7,July,28108,1245.548,25787,3659.627,53895,4905.175,0.04431293581898392,0.14191751657812077,2414.0789999999997
BARAMATI SAHAKARI BANK,2019-07-01,2019,7,July,7602,1105.876,11938,645.078,19540,1750.954,0.14547171796895553,0.054035684369241076,-460.798
GUJARAT STATE CO-OP BANK,2019-07-01,2019,7,July,91742,10212.111,158301,12979.715,250043,23191.826,0.11131336792308867,0.08199389138413529,2767.6039999999994
HARYANA STATE CO-OP APEX BANK,2019-07-01,2019,7,July,2072,267.712,1580,126.349,3652,394.061,0.1292046332046332,0.07996772151898734,-141.363
HASTI CO-OP BANK,2019-07-01,2019,7,July,6210,361.035,5369,354.599,11579,715.634,0.05813768115942029,0.06604563233376792,-6.4360000000000355
KANGRA CENTRAL CO-OP BANK,2019-07-01,2019,7,July,40637,1384.143,47851,2602.146,88488,3986.289,0.034061151167655096,0.05438018014252576,1218.0030000000002
KANGRA CO-OP BANK,2019-07-01,2019,7,July,5155,494.492,14332,425.509,19487,920.001,0.0959247332686712,0.029689436226625735,-68.983
KERALA STATE CO-OP BANK,2019-07-01,2019,7,July,881,45.734,988,791.121,1869,836.855,0.05191146424517594,0.8007297570850203,745.387
NASIK MERCHANTS CO-OP BANK,2019-07-01,2019,7,July,14131,776.654,19906,1010.999,34037,1787.653,0.05496100771353761,0.0507886566864262,234.34500000000003
NAVNIRMAN CO-OP BANK,2019-07-01,2019,7,July,4901,273.593,9840,601.093,14741,874.6859999999999,0.055823913487043464,0.061086686991869914,327.49999999999994
PANDHARPUR URBAN CO-OP BANK,2019-07-01,2019,7,July,3618,442.534,7836,562.895,11454,1005.429,0.12231453841901603,0.07183448187850944,120.36099999999999
RAJASTHAN STATE CO-OP BANK,2019-07-01,2019,7,July,43547,1647.588,239898,6849.597,283445,8497.185,0.037834707327714885,0.028552122151914563,5202.009
SAHEBRAO DESHMUKH CO-OP BANK,2019-07-01,2019,7,July,3335,574.231,9696,397.188,13031,971.419,0.1721832083958021,0.04096410891089109,-177.043
URBAN CO-OP BANK,2019-07-01,2019,7,July,1499,229.179,222,17.502,1721,246.681,0.15288792528352235,0.07883783783783783,-211.677
VARACHHA CO-OP BANK,2019-07-01,2019,7,July,22816,1483.665,45854,1476.869,68670,2960.5339999999997,0.0650273930575035,0.03220807345051686,-6.796000000000049
VIJAY CO-OP OP BANK,2019-07-01,2019,7,July,3084,184.682,510,44.939,3594,229.62099999999998,0.059883916990920875,0.0881156862745098,-139.743
VISHWESHWAR SAHAKARI BANK,2019-07-01,2019,7,July,10966,970.161,25147,1175.714,36113,2145.875,0.08846990698522705,0.0467536485465463,205.553
ZOROASTRIAN CO-OP BANK,2019-07-01,2019,7,July,5587,169.898,7788,598.231,13375,768.129,0.030409522104886344,0.07681445814072933,428.33299999999997
TUMKUR GRAIN MERCHANTS CO-OP BANK,2019-07-01,2019,7,July,8801,599.583,6036,499.818,14837,1099.4009999999998,0.06812669014884672,0.08280616302186879,-99.76499999999999
GADCHIROLI DIST CO-OP BANK,2019-07-01,2019,7,July,5689,373.726,71380,592.17,77069,965.896,0.06569274037616453,0.008296021294480246,218.44399999999996
THRISSUR DIST CO-OP BANK,2019-07-01,2019,7,July,4278,274.683,8172,543.784,12450,818.467,0.06420827489481065,0.06654233969652472,269.101
UCO BANK,2019-07-01,2019,7,July,702887,45256.593,2791854,86420.715,3494741,131677.308,0.06438672645816468,0.030954596837800257,41164.121999999996
UJJIVAN SMALL FINANCE BANK,2019-07-01,2019,7,July,81735,2631.515,70407,7288.847,152142,9920.362,0.0321956933994005,0.10352446489695627,4657.332
UNION BANK OF INDIA,2019-07-01,2019,7,July,2490931,222779.844,6002696,368963.288,8493627,591743.132,0.0894363770012096,0.061466262492719935,146183.444
UNITED BANK OF INDIA,2019-07-01,2019,7,July,1203953,59155.652,4058007,101389.476,5261960,160545.128,0.04913451937077278,0.0249850421647868,42233.82399999999
UNITED OVERSEAS BANK,2019-07-01,2019,7,July,72,58.468,20,340.731,92,399.199,0.8120555555555556,17.03655,282.263
UTKARSH SMALL FINANCE BANK,2019-07-01,2019,7,July,131370,4778.725,15501,1083.654,146871,5862.379000000001,0.0363760752074294,0.06990865105477066,-3695.0710000000004
VASAI VIKAS SAHAKARI BANK,2019-07-01,2019,7,July,4910,297.05,19219,718.903,24129,1015.953,0.060498981670061104,0.03740584837920807,421.853
VIJAYA BANK,2019-07-01,2019,7,July,818859,50969.158,1881029,96279.054,2699888,147248.212,0.062244120172093124,0.051184247558118456,45309.896
VASAI JANATA SAHAKARI BANK,2019-07-01,2019,7,July,3385,861.312,4168,195.352,7553,1056.664,0.2544496307237814,0.046869481765834935,-665.96
WEST BENGAL STATE CO-OP BANK,2019-07-01,2019,7,July,64976,1391.294,194967,5674.964,259943,7066.258,0.021412429204629404,0.029107305338852217,4283.67
WESTPAC BANKING CORP,2019-07-01,2019,7,July,27,9.06,2,0.043,29,9.103,0.33555555555555555,0.0215,-9.017000000000001
WOORI BANK,2019-07-01,2019,7,July,9540,1861.827,1518,3046.908,11058,4908.735,0.19516006289308177,2.007185770750988,1185.081
YES BANK,2019-07-01,2019,7,July,12623825,577626.316,3104534,472654.307,15728359,1050280.623,0.045756838042352456,0.15224645856672853,-104972.00900000002
ZILA SAHKARI BANK GHAZIABAD,2019-07-01,2019,7,July,1976,250.239,7674,470.738,9650,720.977,0.12663917004048583,0.06134193380244983,220.499
ABHYUDAYA CO-OP BANK,2019-08-01,2019,8,August,96798,3611.18,224362,7831.06,321160,11442.24,0.0373063493047377,0.03490368244176822,4219.880000000001
ABU DHABI COMMERCIAL BANK,2019-08-01,2019,8,August,4419,1318.05,753,313.7,5172,1631.75,0.29826883910386964,0.4166002656042497,-1004.3499999999999
AHMEDABAD MERCANTILE CO-OP BANK,2019-08-01,2019,8,August,20691,1695.77,34503,2101.08,55194,3796.85,0.08195688946885119,0.06089557429788714,405.30999999999995
AHMEDNAGAR MERCHANTS CO-OP BANK,2019-08-01,2019,8,August,5857,2913.55,8139,1346.24,13996,4259.79,0.497447498719481,0.16540606954171275,-1567.3100000000002
AIRTEL PAYMENTS BANK,2019-08-01,2019,8,August,482666,27016.33,118792,9793.79,601458,36810.12,0.0559731367032275,0.08244486160684222,-17222.54
AKOLA DIST CENTRAL CO-OP BANK,2019-08-01,2019,8,August,16239,695.5,21787,1440.91,38026,2136.41,0.0428289919330008,0.066136228025887,745.4100000000001
ALLAHABAD BANK,2019-08-01,2019,8,August,1302972,88510.72,3592504,163052.82,4895476,251563.54,0.06792987109469735,0.045386955727815474,74542.1
ALMORA URBAN CO-OP BANK,2019-08-01,2019,8,August,19257,585.56,21017,854.75,40274,1440.31,0.030407643973619978,0.040669458057762765,269.19000000000005
AMBARNATH JAI HIND CO-OP BANK,2019-08-01,2019,8,August,2097,135.49,8224,184.0,10321,319.49,0.06461134954697187,0.02237354085603113,48.50999999999999
ANDHRA BANK,2019-08-01,2019,8,August,981533,117154.81,3353171,177576.28,4334704,294731.08999999997,0.11935901289105919,0.05295771674036308,60421.47
ANDHRA PRAGATHI GRAMEENA BANK,2019-08-01,2019,8,August,39533,3310.36,130735,3217.89,170268,6528.25,0.08373662509801938,0.024613837151489654,-92.47000000000025
ANZ BANKING GROUP,2019-08-01,2019,8,August,30138,13906.22,8225,8401.74,38363,22307.96,0.46141814320791025,1.0214881458966565,-5504.48
APANA SAHAKARI BANK,2019-08-01,2019,8,August,14986,1213.01,61045,2611.85,76031,3824.8599999999997,0.08094288002135326,0.04278564993037923,1398.84
AU SMALL FINANCE BANK,2019-08-01,2019,8,August,140369,17515.35,145540,19135.63,285909,36650.979999999996,0.12478075643482535,0.13148021162566992,1620.2800000000025
AXIS BANK,2019-08-01,2019,8,August,19137383,1067831.81,10059172,1229121.74,29196555,2296953.55,0.055798214938792834,0.12218915632419845,161289.92999999993
ADITYA BIRLA IDEA PAYMENTS BANK,2019-08-01,2019,8,August,2149,19.11,1598,14.59,3747,33.7,0.008892508143322476,0.009130162703379224,-4.52
AKOLA JANATA COMMERCIAL CO-OP BANK,2019-08-01,2019,8,August,15311,880.73,15759,1076.17,31070,1956.9,0.057522696100842534,0.06828923155022527,195.44000000000005
ANDHRA PRADESH GRAMEEN VIKAS BANK,2019-08-01,2019,8,August,36924,4993.38,116790,2861.99,153714,7855.37,0.13523399415014625,0.02450543710934155,-2131.3900000000003
BANK N PARIBAS,2019-08-01,2019,8,August,312403,87112.9,146838,233180.99,459241,320293.89,0.27884783436778776,1.5880152957681253,146068.09
BANDHAN BANK,2019-08-01,2019,8,August,390060,21314.59,473585,26797.26,863645,48111.85,0.0546443880428652,0.05658384450521026,5482.669999999998
BANK INTERNASIONAL INDONESIA,2019-08-01,2019,8,August,1312,154.73,48,12.69,1360,167.42,0.11793445121951218,0.26437499999999997,-142.04
BANK OF AMERICA,2019-08-01,2019,8,August,641298,122614.79,112811,96512.1,754109,219126.89,0.19119783626332842,0.8555202950066927,-26102.689999999988
BANK OF BAHARIEN AND KUWAIT,2019-08-01,2019,8,August,16180,3174.6,2273,510.64,18453,3685.24,0.19620519159456118,0.22465464144302683,-2663.96
BANK OF BARODA,2019-08-01,2019,8,August,3174837,275756.42,11710815,415095.54,14885652,690851.96,0.08685687485688241,0.03544548692810876,139339.12
BANK OF CEYLON,2019-08-01,2019,8,August,1819,116.9,584,188.22,2403,305.12,0.06426608026388125,0.3222945205479452,71.32
BANK OF INDIA,2019-08-01,2019,8,August,2419353,118193.35,8489171,374215.83,10908524,492409.18000000005,0.04885328846183257,0.04408155166152267,256022.48
BANK OF MAHARASHTRA,2019-08-01,2019,8,August,1162573,79051.3,2837333,125177.92,3999906,204229.22,0.06799684836995183,0.04411816307779171,46126.619999999995
BANK OF NOVA SCOTIA,2019-08-01,2019,8,August,685,890.82,398,2864.47,1083,3755.29,1.3004671532846717,7.1971608040201,1973.6499999999996
BANK OF TOKYO AND MITSUBISHI,2019-08-01,2019,8,August,68083,23606.85,9302,22619.67,77385,46226.52,0.3467363365304114,2.431699634487207,-987.1800000000003
BARCLAYS BANK,2019-08-01,2019,8,August,62349,18025.69,7614,14581.51,69963,32607.199999999997,0.2891095286211487,1.9150919359075387,-3444.1799999999985
BASSEIN CATHOLIC CO-OP BANK,2019-08-01,2019,8,August,37914,2677.21,75161,3346.95,113075,6024.16,0.07061270243181939,0.04453040805737018,669.7399999999998
BHAGINI NIVEDITA SAHAKARI BANK,2019-08-01,2019,8,August,3300,100.36,5350,135.63,8650,235.99,0.030412121212121213,0.02535140186915888,35.269999999999996
BHARAT CO-OP BANK,2019-08-01,2019,8,August,94021,5186.94,180724,8922.17,274745,14109.11,0.05516788802501568,0.049369037869901065,3735.2300000000005
CANARA BANK,2019-08-01,2019,8,August,3158947,254713.39,6438686,406542.75,9597633,661256.14,0.08063237211640462,0.06314063925465538,151829.36
CAPITAL LOCAL AREA BANK,2019-08-01,2019,8,August,35288,2031.99,46706,3272.05,81994,5304.04,0.057583031058716844,0.0700563096818396,1240.0600000000002
CATHOLIC SYRIAN BANK,2019-08-01,2019,8,August,176665,8893.14,191807,8574.83,368472,17467.97,0.05033900319814338,0.04470551126914033,-318.3099999999995
CENTRAL BANK OF INDIA,2019-08-01,2019,8,August,2256022,150432.77,6284923,217197.36,8540945,367630.13,0.06668054212237291,0.03455847589540874,66764.59
CITI BANK,2019-08-01,2019,8,August,7599594,1139329.88,2511155,877552.32,10110749,2016882.1999999997,0.14991983519119573,0.3494616302060207,-261777.55999999994
CITIZEN CREDIT CO-OP BANK,2019-08-01,2019,8,August,13309,776.45,32867,1324.0,46176,2100.45,0.05834022090314825,0.040283567103781906,547.55
CITY UNION BANK,2019-08-01,2019,8,August,1017635,48303.24,708998,44731.53,1726633,93034.76999999999,0.047466174021137245,0.06309119348714665,-3571.709999999999
CORP BANK,2019-08-01,2019,8,August,2222447,83194.83,2773116,160744.24,4995563,243939.07,0.037433887062323645,0.05796520592719525,77549.40999999999
COSMOS CO-OP BANK,2019-08-01,2019,8,August,126969,13308.02,218191,13989.51,345160,27297.53,0.10481314336570344,0.06411588928965906,681.4899999999998
CREDIT AGRICOLE CORP AND INVESTMENT BANK,2019-08-01,2019,8,August,10751,3992.0,810,19349.66,11561,23341.66,0.3713142963445261,23.88846913580247,15357.66
CREDIT SUISSE AG,2019-08-01,2019,8,August,55,7.94,28,176.5,83,184.44,0.14436363636363636,6.303571428571429,168.56
CTBC BANK CO-OP,2019-08-01,2019,8,August,1301,1754.82,593,3292.12,1894,5046.94,1.3488239815526517,5.551635750421585,1537.3
DCB BANK,2019-08-01,2019,8,August,300615,18517.84,434200,28189.04,734815,46706.880000000005,0.061599853633384896,0.06492178719484108,9671.2
DELHI STATE CO-OP OP BANK,2019-08-01,2019,8,August,2512,121.63,7447,288.19,9959,409.82,0.04841958598726114,0.03869880488787431,166.56
DENA BANK,2019-08-01,2019,8,August,479002,36067.88,1713546,60313.22,2192548,96381.1,0.07529797370365886,0.03519789956032695,24245.340000000004
DEOGIRI NAGARI SAHAKARI BANK,2019-08-01,2019,8,August,5421,639.23,12983,468.57,18404,1107.8,0.11791735842095555,0.036091042132018795,-170.66000000000003
DEUTSCHE BANK,2019-08-01,2019,8,August,3190949,361840.72,496845,262604.64,3687794,624445.36,0.11339595838103335,0.5285443951332911,-99236.07999999996
DEVELOPMENT BANK OF SINGAPORE,2019-08-01,2019,8,August,538189,102710.72,164616,45699.24,702805,148409.96,0.1908450748714671,0.2776111678087185,-57011.48
DHANLAXMI BANK,2019-08-01,2019,8,August,154138,5670.51,171243,8707.03,325381,14377.54,0.03678852716396995,0.050846049181572386,3036.5200000000004
DICGC BANK,2019-08-01,2019,8,August,123,8.15,36,0.51,159,8.66,0.06626016260162602,0.014166666666666668,-7.640000000000001
DMK JAOLI BANK,2019-08-01,2019,8,August,3727,441.01,12846,386.81,16573,827.8199999999999,0.11832841427421519,0.030111318698427526,-54.19999999999999
DOHA BANK QSC,2019-08-01,2019,8,August,36733,5340.52,1944,252.86,38677,5593.38,0.14538752620259712,0.13007201646090535,-5087.660000000001
DOMBIVLI NAGRIK SAHAKARI BANK,2019-08-01,2019,8,August,19631,1231.73,65207,2201.68,84838,3433.41,0.06274412918343436,0.03376447313938687,969.9499999999998
DURGAPUR STEEL PEOPLES CO-OP BANK,2019-08-01,2019,8,August,1846,58.35,1480,42.07,3326,100.42,0.03160888407367281,0.028425675675675676,-16.28
EMIRATES NBD BANK PJSC,2019-08-01,2019,8,August,331,152.89,1162,3372.15,1493,3525.04,0.46190332326283984,2.902022375215146,3219.26
EQUITAS SMALL FINANCE BANK,2019-08-01,2019,8,August,172622,8736.69,73499,4597.38,246121,13334.07,0.05061168333120923,0.0625502387787589,-4139.31
ESAF SMALL FINANCE BANK,2019-08-01,2019,8,August,16553,1011.76,27048,2146.23,43601,3157.99,0.06112245514408264,0.07934893522626442,1134.47
EXPORT IMPORT BANK OF INDIA,2019-08-01,2019,8,August,0,0.0,137,835.8,137,835.8,0.0,6.100729927007299,835.8
FEDERAL BANK,2019-08-01,2019,8,August,2322981,148432.27,1854940,121690.6,4177921,270122.87,0.06389732417096824,0.0656035235641045,-26741.669999999984
FINCARE SMALL FINANCE BANK,2019-08-01,2019,8,August,7882,1783.77,7919,602.77,15801,2386.54,0.22630931235726973,0.07611693395630761,-1181.0
FINO PAYMENTS BANK,2019-08-01,2019,8,August,325086,4406.86,101330,3456.42,426416,7863.28,0.013555982109349525,0.03411052995164315,-950.4399999999996
FIRSTRAND BANK,2019-08-01,2019,8,August,89,546.59,64,502.4,153,1048.99,6.141460674157304,7.85,-44.190000000000055
GOPINATH PATIL PARSIK JAN SAHA BANK,2019-08-01,2019,8,August,33569,2772.82,91127,3476.78,124696,6249.6,0.08260061366141382,0.038153126954689615,703.96
GREATER BOMBAY CO-OP BANK,2019-08-01,2019,8,August,9664,474.59,38602,1089.37,48266,1563.9599999999998,0.04910906456953642,0.02822055852028392,614.78
HDFC BANK,2019-08-01,2019,8,August,31222892,2747059.5,16636855,2764962.21,47859747,5512021.71,0.08798222470871693,0.1661950056065284,17902.709999999963
HIMACHAL PRADESH STATE CO-OP,2019-08-01,2019,8,August,56226,1501.0,72952,3299.56,129178,4800.5599999999995,0.0266958346672358,0.0452291917973462,1798.56
HSBC BANK,2019-08-01,2019,8,August,2336825,477920.69,780885,368617.79,3117710,846538.48,0.20451710761396338,0.4720513135737016,-109302.90000000002
ICICI BANK,2019-08-01,2019,8,August,18736623,1347962.55,13255091,1511771.4,31991714,2859733.95,0.071942662773329,0.11405213287483276,163808.84999999986
IDBI BANK,2019-08-01,2019,8,August,6444443,319196.01,4098345,358993.17,10542788,678189.1799999999,0.049530426446474894,0.0875946680916321,39797.159999999974
IDFC BANK,2019-08-01,2019,8,August,577546,75428.76,529748,89857.46,1107294,165286.22,0.1306021684852808,0.16962302830779918,14428.700000000012
IDUKKI DIST CO-OP BANK,2019-08-01,2019,8,August,5232,501.35,3117,281.17,8349,782.52,0.09582377675840979,0.09020532563362207,-220.18
INDIA POST PAYMENTS BANK,2019-08-01,2019,8,August,74842,2062.35,36486,451.46,111328,2513.81,0.02755605141498089,0.012373513128323192,-1610.8899999999999
INDIAN BANK,2019-08-01,2019,8,August,1267485,105061.53,4240129,174440.46,5507614,279501.99,0.08288976200901786,0.04114036624829103,69378.93
INDIAN OVERSEAS BANK,2019-08-01,2019,8,August,1621247,101617.95,3574034,156273.08,5195281,257891.02999999997,0.06267888236647469,0.043724564455738246,54655.12999999999
INDUSIND BANK,2019-08-01,2019,8,August,3609665,298197.19,1616014,232578.9,5225679,530776.09,0.08261076581898874,0.1439213397903731,-65618.29000000001
INDUSTRIAL AND CO-OP BANK OF CHINA,2019-08-01,2019,8,August,1098,1371.92,135,5237.76,1233,6609.68,1.249471766848816,38.79822222222222,3865.84
INDUSTRIAL BANK OF KOREA,2019-08-01,2019,8,August,1835,500.78,218,1558.85,2053,2059.63,0.27290463215258853,7.150688073394495,1058.07
IRINJALAKUDA TOWN CO-OP BANK,2019-08-01,2019,8,August,1264,57.6,854,54.1,2118,111.7,0.04556962025316456,0.06334894613583138,-3.5
JALGAON JANATA SAHKARI BANK,2019-08-01,2019,8,August,11559,510.4,16963,1312.58,28522,1822.98,0.044156068864088585,0.07737900135589224,802.18
JALGAON PEOPLES CO-OP BANK,2019-08-01,2019,8,August,15222,3069.11,28068,1224.82,43290,4293.93,0.20162330836946527,0.04363759441356705,-1844.2900000000002
JAMMU AND KASHMIR BANK,2019-08-01,2019,8,August,305144,31231.15,325814,28937.38,630958,60168.53,0.10234889101538946,0.08881564328113586,-2293.7700000000004
JANA SMALL FINANCE BANK,2019-08-01,2019,8,August,56007,3609.44,22211,2180.04,78218,5789.48,0.06444622993554378,0.09815136644005222,-1429.4
JANAKALYAN SAHAKARI BANK,2019-08-01,2019,8,August,13949,1089.01,36915,1575.34,50864,2664.35,0.0780708294501398,0.04267479344439929,486.3299999999999
JANATA SAHAKARI BANK,2019-08-01,2019,8,August,68338,4511.32,100414,5971.4,168752,10482.72,0.06601480874476864,0.05946780329436134,1460.08
JANSEVA SAHAKARI BANK BORIVILI,2019-08-01,2019,8,August,3794,193.74,9022,371.18,12816,564.9200000000001,0.05106483921982077,0.04114165373531368,177.44
JANSEVA SAHAKARI BANK PUNE,2019-08-01,2019,8,August,9202,497.3,37721,1601.05,46923,2098.35,0.054042599434905456,0.042444526921343546,1103.75
JP MORGAN BANK,2019-08-01,2019,8,August,420702,65705.81,13757,44860.49,434459,110566.29999999999,0.15618135877652115,3.260920985680017,-20845.32
JIO PAYMENTS BANK,2019-08-01,2019,8,August,1427,20.69,209,0.97,1636,21.66,0.014498948843728102,0.004641148325358851,-19.720000000000002
KALLAPPANNA AWADE IJSB,2019-08-01,2019,8,August,15108,733.8,19367,1265.51,34475,1999.31,0.04857029388403494,0.06534362575515051,531.71
KALUPUR COMM CO-OP BANK,2019-08-01,2019,8,August,58180,3742.6,95254,7253.14,153434,10995.74,0.06432794774836713,0.07614525374262499,3510.5400000000004
KALYAN JANATA SAHAKARI BANK,2019-08-01,2019,8,August,12927,1067.89,49125,1857.21,62052,2925.1000000000004,0.08260926742476987,0.03780580152671756,789.3199999999999
KARAD URBAN CO-OP BANK,2019-08-01,2019,8,August,16899,903.48,27584,2239.64,44483,3143.12,0.05346351855139357,0.08119344547563805,1336.1599999999999
KARNATAKA BANK,2019-08-01,2019,8,August,462341,28785.56,1229054,54732.16,1691395,83517.72,0.062260452782686375,0.044531940826033685,25946.600000000002
KARNATAKA STATE CO-OP APEX BANK,2019-08-01,2019,8,August,61035,2250.64,72340,3594.75,133375,5845.389999999999,0.0368745801589252,0.04969242466132154,1344.1100000000001
KARNATAKA VIKAS GRAMEEN BANK,2019-08-01,2019,8,August,64687,5376.02,148576,4468.56,213263,9844.580000000002,0.08310819793776185,0.03007592074090028,-907.46
KARUR VYSYA BANK,2019-08-01,2019,8,August,954860,68345.02,1434439,81134.63,2389299,149479.65000000002,0.0715759587792975,0.05656192420869762,12789.61
KAVERI GRAMEENA BANK,2019-08-01,2019,8,August,31853,9192.44,103167,2371.91,135020,11564.35,0.28858945782186923,0.02299097579652408,-6820.530000000001
KOREA EXCHANGE BANK,2019-08-01,2019,8,August,2234,3744.78,764,16777.39,2998,20522.17,1.6762667860340197,21.95993455497382,13032.609999999999
KOTAK MAHINDRA BANK,2019-08-01,2019,8,August,8044299,516175.08,4840113,592392.8,12884412,1108567.8800000001,0.0641665706359249,0.12239234910424612,76217.72000000003
KURMANCHAL NAGAR SAHAKARI BANK,2019-08-01,2019,8,August,15968,1198.79,13319,776.57,29287,1975.3600000000001,0.07507452404809618,0.058305428335460624,-422.2199999999999
KERALA GRAMIN BANK,2019-08-01,2019,8,August,79689,3738.56,302460,8320.11,382149,12058.67,0.046914379650892846,0.027508133306883557,4581.550000000001
KOZHIKODE DIST CO-OP BANK,2019-08-01,2019,8,August,5432,540.61,8478,890.16,13910,1430.77,0.09952319587628866,0.10499646142958244,349.54999999999995
KRUNG THAI BANK PCL,2019-08-01,2019,8,August,68,7.48,11,2.62,79,10.100000000000001,0.11,0.2381818181818182,-4.86
LAKSHMI VILAS BANK,2019-08-01,2019,8,August,366358,17670.13,351305,24164.35,717663,41834.479999999996,0.048231866098188116,0.0687845319594085,6494.2199999999975
MAHANAGAR CO-OP BANK,2019-08-01,2019,8,August,14401,1351.69,46743,2313.3,61144,3664.9900000000002,0.0938608429970141,0.04948976317309544,961.6100000000001
MAHARASHTRA GRAMIN BANK,2019-08-01,2019,8,August,73802,8413.57,208689,5448.08,282491,13861.65,0.11400192406709844,0.026106215468951408,-2965.49
MAHARASHTRA STATE CO-OP BANK,2019-08-01,2019,8,August,10633,635.55,14611,7114.76,25244,7750.31,0.05977146619016269,0.48694545205666967,6479.21
MAHESH SAHAKARI BANK PUNE,2019-08-01,2019,8,August,6509,360.9,4434,374.72,10943,735.62,0.05544630511599324,0.08451059990978801,13.82000000000005
MASHREQ BANK,2019-08-01,2019,8,August,994,630.47,64,295.63,1058,926.1,0.6342756539235412,4.61921875,-334.84000000000003
MEHSANA URBAN CO-OP BANK,2019-08-01,2019,8,August,34253,2329.83,51416,4301.81,85669,6631.64,0.06801827577146527,0.08366675742959391,1971.9800000000005
MIZUHO CORP BANK,2019-08-01,2019,8,August,35087,12713.69,5859,19533.1,40946,32246.79,0.3623475931256591,3.3338624338624334,6819.409999999998
MUMBAI DIST CENTRAL CO-OP BANK,2019-08-01,2019,8,August,43534,1007.44,29064,1740.53,72598,2747.9700000000003,0.023141452657692838,0.05988611340489953,733.0899999999999
MUNICIPAL CO-OP BANK,2019-08-01,2019,8,August,4146,178.24,4422,107.35,8568,285.59000000000003,0.04299083453931501,0.02427634554500226,-70.89000000000001
NABARD BANK,2019-08-01,2019,8,August,4420,4986.4,67,19894.42,4487,24880.82,1.1281447963800904,296.93164179104474,14908.019999999999
NAGAR URBAN CO-OP BANK,2019-08-01,2019,8,August,12390,1839.54,15908,662.64,28298,2502.18,0.14846973365617433,0.041654513452351015,-1176.9
NAGPUR NAGRIK SAHAKARI BANK,2019-08-01,2019,8,August,12292,688.86,20568,1524.64,32860,2213.5,0.05604132769280833,0.0741267989109296,835.7800000000001
NAINITAL BANK,2019-08-01,2019,8,August,43970,2725.63,61739,3890.86,105709,6616.49,0.06198840118262452,0.06302110497416544,1165.23
NATIONAL BANK OF ABU DHABI PJSC,2019-08-01,2019,8,August,439,885.24,10,1.38,449,886.62,2.016492027334852,0.13799999999999998,-883.86
NAV JEEVAN CO-OP BANK,2019-08-01,2019,8,August,3210,281.78,1427,125.85,4637,407.63,0.08778193146417444,0.08819201121233357,-155.92999999999998
NEW INDIA CO-OP BANK,2019-08-01,2019,8,August,17415,733.58,39363,1379.26,56778,2112.84,0.042123456790123456,0.03503950410283769,645.68
NILAMBUR CO-OP URBAN BANK,2019-08-01,2019,8,August,1911,98.17,326,31.46,2237,129.63,0.05137100994243851,0.09650306748466259,-66.71000000000001
NKGSB BANK,2019-08-01,2019,8,August,48749,3425.34,89062,4845.33,137811,8270.67,0.0702648259451476,0.05440401068918282,1419.9899999999998
NORTH EAST SMALL FINANCE BANK,2019-08-01,2019,8,August,17633,684.12,1383,50.84,19016,734.96,0.03879770884137696,0.036760665220535074,-633.28
NSDL PAYMENTS BANK,2019-08-01,2019,8,August,7,0.01,31,0.21,38,0.22,0.0014285714285714286,0.0067741935483870966,0.19999999999999998
NUTAN NAGARIK SAHAKARI BANK,2019-08-01,2019,8,August,21773,1173.85,30855,2185.04,52628,3358.89,0.05391310338492628,0.07081639928698752,1011.19
